submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
03/12/2021,New York,1732154,6589,48555,101
04/20/2020,New York,245580,7442,18367,1340
12/15/2020,New York,803819,9509,35582,120
02/06/2021,New York,1477033,10367,44487,191
02/27/2021,New York,1641879,7922,47297,109
03/06/2020,New York,23,9,0,0
02/24/2020,New York,0,0,0,0
05/06/2020,New York,318915,2874,25779,765
12/09/2020,New York,743502,10059,34942,91
10/25/2020,New York,498339,1436,33172,8
11/26/2020,New York,628533,7241,34094,72
10/07/2020,New York,469613,1272,32958,8
07/07/2020,New York,399925,514,31940,12
10/06/2020,New York,468341,1478,32950,11
11/08/2020,New York,532732,3488,33439,25
06/03/2020,New York,371019,-4205,29918,32
07/26/2020,New York,413091,529,32320,16
01/27/2020,New York,0,0,0,0
12/23/2020,New York,889669,13105,36655,186
11/05/2020,New York,522405,3260,33367,19
06/25/2020,New York,392292,782,31066,46
04/25/2020,New York,277606,10350,20985,585
06/11/2020,New York,382913,777,30481,72
05/26/2020,New York,366638,1233,29289,96
09/15/2020,New York,446888,718,32765,12
03/05/2021,New York,1685287,8841,47930,112
04/27/2020,New York,287607,4616,21883,379
06/09/2020,New York,381505,768,30351,71
10/17/2020,New York,483689,978,33067,6
04/02/2021,New York,1893275,5971,50232,89
09/06/2020,New York,440149,728,32706,21
02/11/2020,New York,0,0,0,0
05/20/2020,New York,357431,1252,28609,125
08/05/2020,New York,419752,621,32431,2
06/12/2020,New York,378606,-4307,30511,30
09/25/2020,New York,454996,975,32817,8
03/10/2020,New York,173,31,0,0
07/16/2020,New York,406594,718,32139,6
06/16/2020,New York,386489,5755,30709,64
09/07/2020,New York,440677,528,32714,8
12/06/2020,New York,715114,9292,34707,68
03/28/2020,New York,53308,7374,779,233
02/28/2020,New York,0,0,0,0
03/07/2021,New York,1698819,6186,48104,81
02/19/2021,New York,1583328,8042,46371,128
02/13/2020,New York,0,0,0,0
02/10/2021,New York,1510909,8766,45106,148
05/02/2020,New York,307506,4377,23826,153
01/23/2020,New York,0,0,0,0
02/22/2021,New York,1603471,6677,46711,111
07/20/2020,New York,408730,235,32203,5
06/18/2020,New York,387645,655,30804,54
11/24/2020,New York,614699,5090,33977,53
02/12/2021,New York,1528866,8542,45421,172
05/09/2020,New York,328599,3889,26697,338
10/31/2020,New York,510899,1927,33276,16
02/12/2020,New York,0,0,0,0
12/31/2020,New York,986424,16900,37753,143
10/14/2020,New York,479487,1468,33033,11
08/31/2020,New York,435783,683,32655,9
08/28/2020,New York,433866,621,32624,5
02/07/2021,New York,1486862,9829,44632,145
12/25/2020,New York,914526,12510,36931,130
07/17/2020,New York,407334,740,32158,19
03/02/2020,New York,1,1,0,0
06/27/2020,New York,393728,687,31134,39
12/10/2020,New York,753800,10298,35048,106
03/04/2020,New York,2,1,0,0
12/16/2020,New York,813344,9525,35698,116
10/29/2020,New York,506674,2750,33247,19
08/04/2020,New York,419131,779,32429,10
05/19/2020,New York,356179,6965,28484,182
02/22/2020,New York,0,0,0,0
09/10/2020,New York,442680,622,32722,5
10/03/2020,New York,464762,1567,32909,15
01/29/2020,New York,0,0,0,0
04/18/2020,New York,233570,9132,16274,515
02/01/2021,New York,1434344,8539,43607,161
12/19/2020,New York,845565,9563,36064,120
03/13/2020,New York,362,37,0,0
04/06/2020,New York,141100,21665,5940,2451
03/10/2021,New York,1718341,6433,48362,95
04/06/2021,New York,1921422,6350,50504,52
08/23/2020,New York,430885,477,32592,10
03/30/2021,New York,1869311,7578,49962,74
07/14/2020,New York,405017,966,32109,21
03/17/2020,New York,2601,1770,12,6
06/20/2020,New York,389213,883,30880,56
03/22/2021,New York,1803884,12179,49331,66
03/01/2021,New York,1656328,7435,47505,93
03/24/2020,New York,26358,4669,231,75
08/24/2020,New York,431335,450,32599,7
09/24/2020,New York,454021,961,32809,7
04/08/2021,New York,1937160,8216,50648,59
04/03/2021,New York,1901521,8246,50313,81
07/06/2020,New York,399411,583,31928,22
04/12/2020,New York,188694,8236,9162,535
07/30/2020,New York,415960,751,32368,13
02/27/2020,New York,0,0,0,0
03/27/2020,New York,45934,6957,546,122
01/23/2021,New York,1331089,13376,41954,188
03/04/2021,New York,1676446,7571,47818,89
12/07/2020,New York,723002,7888,34798,91
03/14/2020,New York,461,99,0,0
03/21/2020,New York,10356,2511,64,20
04/09/2021,New York,1945479,8319,50725,77
02/08/2021,New York,1495178,8316,44782,150
10/09/2020,New York,473136,1691,32977,6
10/21/2020,New York,490085,1784,33121,8
06/28/2020,New York,394250,522,31744,610
10/18/2020,New York,485746,2057,33089,22
08/17/2020,New York,427270,361,32548,13
07/05/2020,New York,398828,501,31906,15
04/03/2020,New York,101993,11714,2375,418
01/24/2021,New York,1343849,12760,42149,195
03/30/2020,New York,67131,7912,1069,174
01/09/2021,New York,1127777,17667,39258,199
04/05/2020,New York,119435,8187,3489,669
02/03/2020,New York,0,0,0,0
09/30/2020,New York,460070,1259,32870,11
02/25/2021,New York,1626312,9048,47068,132
10/16/2020,New York,482711,1681,33061,19
06/04/2020,New York,372046,1027,30011,93
06/17/2020,New York,386990,501,30750,41
05/29/2020,New York,365323,-4137,29535,35
08/19/2020,New York,428558,661,32553,0
